s_m,longitude,latitude,x_local_m,y_local_m,elevation_m,slope_deg,valley_width_m
18800.000000,85.514114,28.330000,13365.304908,5557.951200,3426.652662,8.675679,754.980877
18900.000000,85.513094,28.330000,13265.304908,5557.951200,3411.315643,8.893371,754.587219
19000.000000,85.512074,28.330000,13165.304908,5557.951200,3395.357202,9.047593,757.055827
19100.000000,85.511054,28.330000,13065.304908,5557.951200,3379.468433,9.147506,766.557758
19200.000000,85.510303,28.330530,12991.674372,5616.582820,3363.152288,9.382676,788.113160
19300.000000,85.509626,28.331207,12925.322861,5691.399108,3346.420774,9.536266,826.198939
19400.000000,85.508949,28.331884,12858.971350,5766.215396,3329.553616,9.587995,882.428523
19500.000000,85.508242,28.332500,12789.592816,5834.301200,3312.636407,9.684934,953.269845
19600.000000,85.507222,28.332500,12689.592816,5834.301200,3295.421114,9.681161,1029.410098
19700.000000,85.506201,28.332500,12589.592816,5834.301200,3278.517460,9.510701,1097.775181
19800.000000,85.505181,28.332500,12489.592816,5834.301200,3261.914191,9.354237,1145.692859
19900.000000,85.504161,28.332500,12389.592816,5834.301200,3245.571775,9.088544,1165.218943
20000.000000,85.503141,28.332500,12289.592816,5834.301200,3229.920393,8.658377,1155.368630
20100.000000,85.502121,28.332500,12189.592816,5834.301200,3215.116151,8.236327,1121.241749
20200.000000,85.501101,28.332500,12089.592816,5834.301200,3200.970503,7.972626,1070.898761
20300.000000,85.500081,28.332500,11989.592816,5834.301200,3187.105419,7.927696,1011.956929
20400.000000,85.499061,28.332500,11889.592816,5834.301200,3173.119663,8.016327,949.531945
20500.000000,85.498041,28.332500,11789.592816,5834.301200,3158.939131,8.066331,886.022038
20600.000000,85.497021,28.332500,11689.592816,5834.301200,3144.775347,7.979912,822.181907
20700.000000,85.496001,28.332500,11589.592816,5834.301200,3130.902464,8.125824,758.582224
20800.000000,85.494981,28.332500,11489.592816,5834.301200,3116.219157,8.617183,696.817508
20900.000000,85.493961,28.332500,11389.592816,5834.301200,3100.593954,9.060798,639.985522
21000.000000,85.492941,28.332500,11289.592816,5834.301200,3084.324685,9.351436,592.363678
21100.000000,85.491921,28.332500,11189.592816,5834.301200,3067.658309,9.407685,558.365461
21200.000000,85.490901,28.332500,11089.592816,5834.301200,3051.187338,9.197530,541.000786
21300.000000,85.489880,28.332500,10989.592816,5834.301200,3035.274225,8.836988,540.487393
21400.000000,85.488860,28.332500,10889.592816,5834.301200,3020.093482,8.356908,553.475560
21500.000000,85.487840,28.332500,10789.592816,5834.301200,3005.894478,7.559138,573.291919
21600.000000,85.486820,28.332500,10689.592816,5834.301200,2993.552943,6.994705,591.332780
21700.000000,85.485800,28.332500,10589.592816,5834.301200,2981.356328,7.187207,599.352847
21800.000000,85.484780,28.332500,10489.592816,5834.301200,2968.332436,7.359825,591.943295
21900.000000,85.483760,28.332500,10389.592816,5834.301200,2955.523453,7.314528,568.192239
22000.000000,85.482740,28.332500,10289.592816,5834.301200,2942.660301,7.451473,531.717999
22100.000000,85.481720,28.332500,10189.592816,5834.301200,2929.365262,7.746264,489.103336
22200.000000,85.480700,28.332500,10089.592816,5834.301200,2915.454777,8.123982,447.621365
22300.000000,85.479680,28.332500,9989.592816,5834.301200,2900.815633,8.472465,413.368911
22400.000000,85.478660,28.332500,9889.592816,5834.301200,2885.662830,8.601135,390.404061
22500.000000,85.477640,28.332500,9789.592816,5834.301200,2870.564425,8.453854,380.659461
22600.000000,85.476620,28.332500,9689.592816,5834.301200,2855.937287,8.042840,384.133490
22700.000000,85.475600,28.332500,9589.592816,5834.301200,2842.303749,7.359390,399.011430
22800.000000,85.474580,28.332500,9489.592816,5834.301200,2830.105955,6.512633,421.851370
22900.000000,85.473560,28.332500,9389.592816,5834.301200,2819.471956,5.655247,448.111571
23000.000000,85.472539,28.332500,9289.592816,5834.301200,2810.301064,4.987021,473.103105
23100.000000,85.471849,28.333151,9221.939799,5906.223634,2802.019875,4.658145,493.095042
23200.000000,85.470922,28.333333,9131.022118,5926.417867,2794.005150,4.587872,506.142440
23300.000000,85.469935,28.333398,9034.258840,5933.614609,2785.970867,4.594608,512.250932
23400.000000,85.469258,28.334075,8967.907328,6008.430897,2777.932475,4.575798,512.948883
23500.000000,85.468581,28.334752,8901.555817,6083.247185,2769.964274,4.560376,510.421902
23600.000000,85.467687,28.335000,8813.880723,6110.651200,2761.980058,4.596586,506.638347
23700.000000,85.466667,28.335000,8713.880723,6110.651200,2753.884651,4.654397,502.784844
23800.000000,85.465647,28.335000,8613.880723,6110.651200,2745.697316,4.678230,499.161861
23900.000000,85.464627,28.335000,8513.880723,6110.651200,2737.518162,4.694352,495.490996
24000.000000,85.463607,28.335000,8413.880723,6110.651200,2729.274173,4.792671,491.420151
